pcode_district,provisional_licences_male,provisional_licences_female,provisional_total,full_licences_male,full_licences_female,full_total,file_date
CH66,1483,1845,3328,13122,12039,25161,2019-08-01
CM00,619,725,1344,6870,6110,12980,2019-08-01
CM01,3296,3761,7057,23910,21463,45373,2019-08-01
CM02,2533,3018,5551,22813,20499,43312,2019-08-01
CM03,1619,1974,3593,22571,21383,43954,2019-08-01
CM04,330,360,690,4384,4291,8675,2019-08-01
CM05,336,377,713,4588,4377,8965,2019-08-01
CM06,755,854,1609,11427,10939,22366,2019-08-01
CM07,2246,2851,5097,18343,15899,34242,2019-08-01
CM08,1553,2059,3612,12063,10685,22748,2019-08-01
CM09,1235,1492,2727,13665,12510,26175,2019-08-01
CM11,674,792,1466,8017,7510,15527,2019-08-01
CM12,687,694,1381,8209,7859,16068,2019-08-01
CM13,963,1081,2044,10161,9410,19571,2019-08-01
CM14,975,1197,2172,7903,7146,15049,2019-08-01
CM15,775,932,1707,9513,9193,18706,2019-08-01
CM16,805,923,1728,9302,8748,18050,2019-08-01
CM17,910,1159,2069,8978,8329,17307,2019-08-01
CM18,1803,2194,3997,8688,7036,15724,2019-08-01
CM19,1401,1648,3049,7821,6237,14058,2019-08-01
CM20,1907,2278,4185,8103,6195,14298,2019-08-01
CM21,367,417,784,4670,4268,8938,2019-08-01
CM22,481,503,984,6444,6034,12478,2019-08-01
CM23,1761,2034,3795,15794,14578,30372,2019-08-01
CM24,294,343,637,3160,2903,6063,2019-08-01
CM77,456,550,1006,6060,5813,11873,2019-08-01
CO00,1,1,2,0,0,0,2019-08-01
CO01,1314,1477,2791,5539,4220,9759,2019-08-01
CO01O,0,0,0,0,1,1,2019-08-01
CO02,2227,2848,5075,13003,10998,24001,2019-08-01
CO03,1397,1538,2935,11582,10694,22276,2019-08-01
CO04,2961,3516,6477,16888,14344,31232,2019-08-01
CO05,842,1010,1852,11665,10866,22531,2019-08-01
CO06,836,986,1822,11496,11063,22559,2019-08-01
CO07,1200,1355,2555,13717,12641,26358,2019-08-01
CO08,60,76,136,988,938,1926,2019-08-01
CO09,881,1035,1916,10215,9350,19565,2019-08-01
CO10,1837,2241,4078,18585,16920,35505,2019-08-01
CO11,410,560,970,5247,4965,10212,2019-08-01
CO12,1072,1370,2442,8174,6854,15028,2019-08-01
CO13,390,473,863,4989,4665,9654,2019-08-01
CO14,288,369,657,2395,1982,4377,2019-08-01
CO15,2251,2731,4982,15489,12825,28314,2019-08-01
CO16,1085,1290,2375,9757,8617,18374,2019-08-01
CR00,17265,19468,36733,51705,40463,92168,2019-08-01
CR01,7,6,13,8,2,10,2019-08-01
CR02,3038,3557,6595,18244,16428,34672,2019-08-01
CR03,1304,1543,2847,11245,10821,22066,2019-08-01
CR04,8550,8471,17021,21126,14490,35616,2019-08-01
CR05,1358,1717,3075,11477,10983,22460,2019-08-01
CR06,353,403,756,4044,3855,7899,2019-08-01
CR07,6933,6888,13821,14667,10733,25400,2019-08-01
CR08,1922,2171,4093,12575,11612,24187,2019-08-01
CR09,55,40,95,66,22,88,2019-08-01
CT00,0,0,0,0,1,1,2019-08-01
CT01,2243,2537,4780,8054,6525,14579,2019-08-01
CT02,1871,2002,3873,8624,7505,16129,2019-08-01
CT03,827,971,1798,7255,6740,13995,2019-08-01
CT04,614,660,1274,6959,6822,13781,2019-08-01
CT05,1395,1572,2967,12387,11876,24263,2019-08-01
CT06,1648,1878,3526,14559,13575,28134,2019-08-01
CT07,378,476,854,4576,4230,8806,2019-08-01
CT08,426,483,909,2649,2477,5126,2019-08-01
CT09,3342,3680,7022,13880,11548,25428,2019-08-01
